,comment,Label
21,"çagri filminin savas filmleri kategorisine konmasina bir anlam veremedigimi belirterek; tüm zamanlarin en iyi yapimlarindan biri oldugunu düsünüyorum.. 
",1
22,"film beklenenlerin üzerinde degil ama yapit ve anlatilmak istenen olaylar güzel ve gelecek dünyamizin sonunu insanlarin kendi elleriyle getirecegini çok güzel açikliyan bir film... 
",1
23,"bu küfüre niye bu kadar taktiniz anlamiyorum.eglenceli komik bir film.filmlere çok önyargili yaklasiyoruz.filmden ne bekliyoruz anlamiyorum.. 
",1
24,"türk sinemasi yillar geçtikçe daha da geriliyor yazik. 
",0
25,"dev oyuncularin yer aldigi ancak temanin güçlü bi sekilde verilememesinden ötürü sig kalmis bir film..müjdat gezenin oyunculugunu daha bi vurgulu seyredioruz.bence sinema degilde bir tv filmi olmaliydi... 
",0
26,"çok kötü , klise bir hikaye , felaket bir komedi .... 
",0
27,"gerilim harikaydi son zamanlarda çikan en saglam korku filmlerinden biri tavsiye ederim.. 
",1
28,"çokkk vasat bir film zaten eski filmleri pasta yapip tekrar sunmalari çok kötüüüüüü. 
",0
29,"ya birakin bu filme güzel diyenin ben mizah anlayisindan süphe ederim hayatimda izledigim en igrenç filmdi bence bosa izleyipte vakit kaybetmeyin.. 
",0
30,"hayatimda bu kadar kötü bir film izlemedim. gerçekten çok ama çok kötüydü. yaziklar olsun çekenlere. bu filmi izlerken ne amaçla çektiklerini çok merak ettim. bence tek çikarli olan adam sözün bittigi yer iste tam olarak burasi.sakin izlemeyin vaktinizi ziyan etmeyin kardeslerim.. 
",0
31,"bu filmi izleyeceginize fashion tv izleyin ayni sey birbirlerinden tek farki fashion tv deki mankenler super 
",0
32,"gerçekten klasiklerden biri.ilk basta john trovoltanin ölmesini bir yere bagliyamamistim sonra adam tövbe edip ilagi adelet diyip birakinca anladim cok ince msj i. birakan yasior dwm eden öldü.gerçekten güsel 1 filmdi. 
",1
33,"yazari yeter desem oyunculara ve yönetmene ayip etmis olurum.güzel degil çok güzel.. 
",1
34,"kesinlikle igrenç bir film sinemadakilerin hiçbiride begenmedi. basit.. 
",0
35,"filmin havasi anlatim tarzi çok hos. unultulmaya baslayan bir meslege hayranlik duyuyor insan.oyunculuklar zaten süper. sinema da bu kadar göz boyayan film varken bu film hem felsefe yapip hem de akici olabiliyor.ben ce bu kadar kisi lütfedip puan veriyorsa bu puani da hakediyordur.. 
",1
36,"valla 5 in çekimlerine bile baslanmis,4.seri gelsede izlesek artik ya iyice merak etmeye basladim.. 
",0
37,"fragmanina ya da afisine aldanmayin, berbat bir film.. sinemaya verdiginiz paraya yazik.... 
",0
38,"sinema salonuna ilk girisimdi ve izledigim ilk filmdi oldukça duygulanmistim. sanirim bu film sayesinde sinemayi sevmeye basldim. . 
",1
39,"berbat bi filmdi sadece zaman kaybi.... 
",0
40,"film gayet güzel ve basarili, kesinlikle gidilmesi gereken bi film. gerilim, aksiyon, dram hepsini bulabileciginiz bir film  
",1
41,"berbat bir uyarlama filmi bu filmi anlamadigim için oturup bütün seriyi okudumkitaplar çok çok çok daha güzel.... 
",0
42,"çok birsey beklemedim alirken.bekledigimin de altindaydi.ben neden hala bu klise romantik amerikan filmlerinde birseyler ariyorum diye de sordum kendime!vakit kaybi.... 
",0
43,"çok etkileyici sahneleri var sonu ne kadar belli olsa da izlenmeye deger bir film bence, biraz 'hostel' lezzeti var filmde bu da açikçasi beni daha mutlu etti.... 
",1
44,"filmin tutualacak hiç birseyi yok malasef yani türk simamasi bu filmlere mi kaldi.ne hikayesi ne seneryosu ne oyunculugu bes para etmez. harcadigim vakte ve paraya okadar üzüldüm ki anlatamam, puan vermeye bile degmez. kesinlikle izleyip de vaktinizi harcamayin benden size söylemesi. 
",0
45,"çok basarili bir romantik komedi. izledikten sonra sevdiklerinizle iliskilerinizi tekrar inceleyebilirsiniz 
",1
46,"senaryo cok dar olmasina ragmen yinede iyi islenememis cem yilmaz komedide kalsin bence dram pek ona gore degil. 
",0
47,"hiç istemeden,arkadas zoruyla girdim filme. sonra tek kelimeyle bayildim! muhtesem,sicacik bir film. kesinlikle izlemelisiniz!. 
",1
48,"filmden az önce ciktim para kaybi vakit kaybi ne kadar kayip varsa üst üste koyabilirsiniz . 
",0
49,"bir seyahat sonunda araç beklerken vakit geçirmek için gittim... inanin yapacak hiç bisey bulamayinca sirf vakit geçirmek için bile izlenmeyecek kadar kötü bir film... filmin ilgi çekici tek yani bir türk hamami sahnesi olmasi..... 
",0
50,"müthis bir film.izleyeni güldürdügü kadarda aglatiyor hele film içine serpistirilmis mesajlar harika ya tek kelimeyle süper.bu filmde tom hanks kadar gary sinise de çok iyiydi. 
",1
51,"filmi bugün izleme firsatim oldu.konu itibariyle ve sürekliyici temposuyla güzel bir filmdi.ama sonu daha iyi olabilirdi.anthony hopkins her zamanki gibi etkileyici bir performans gösteriyor.bence izlenilmesi gereken bir film.. 
",1
52,"çok büyük vakit kaybi izlenecek daha güzel yapitlar varken bunu gereksiz görüyorum. 
",0
53,"iyi bi korku filmi olmus ama inanilmaz kanli her sahnede kan gövdeyi götürüyo.bn sonunda hayal kirikligina ugradim ama onun disinda iyi bi film.... 
",1
54,"bu filmin reklamini mi iyi yaptilar anlamadim ki. film bakilasi bir film degil, hadi baktik izledik tapilasi bir film hiç degil. . 
",0
55,"süper bir film olmus herkese tavsiye ederim.. 
",1
56,"bence de cüneyt arkin filmi gibi  
",0
57,"harika harika will smith harika mutlaka izleyin derim. 
",1
58,"10 üserinden 10 verdigim nadir filmlerden biri...aglatan, güldüren, düsündüren, cesaretlendiren, korkutan ....vb duygulari yasatan ve bunu sadece siyah beyaz animasyon teknigiyle basaran bir film...tesekkürler. 
",1
59,"son zamanlarda izledigim en güzel film. sade ama gerçekçi sinema anlatimiyla, islenmesi zor olan konu çok çekici hale gelmis. son sahnesindeki diyalog gerçekten süper. herkese rahatlikla tavsiye edebilecegim bir yapim. . 
",1
60,"ya bu turkler ne zaman dogru duzgun bi film yapabilcek amerikan özentisi filmler yapmaktan vazgeçin lutfen. 
",0
61,"müzikler muhtesem.... 
",1
62,"çok gereksiz bir psikolojik film. izlemezseniz hiç bir sey kaybetmezsiniz.. 
",0
63,"bu tarz filmlerin çikmasindan utanç duyuyorum bu kadar amerika özentisi olmayin lütfen bu durum böyle oldugu sürece türk sinemasi asla ilerleme gösteremez.söyle bisey var ki bu tarz film çekmekte bile büyük emek var tabiki emege saygim sonsuz.... 
",0
64,"arkadaslar filmi izlemedim amaafisi bile ; gel beni izle bari parami çikarayim der gibi siradan olmus. 
",0
65,"çarlinin meleklerinden bir oyuncu + bir sahil + bir bikini, görevimiz tehlikeden bir oyuncu + birden çok gülümseyis + bol aksiyon alinmis. ama sonuçta iyi bir film olamamis.. 
",0
66,"tüm zamanlarin en iyi filmi!!. en kisa zamanda bulun. bu masum ama pek akilli olmayan adami tom hanksin mükemmel performansiyla izleyin ve 6 oscari nasil bileginin hakki ile aldigini görün.. 
",1
67,"tam anlamiyla oyunculuk sovu, 10 üzerinden 10. ...dikkatli bakmiyorsunuz...... 
",1
68,"sakin bir pazar sabahi izlenebilecek eglenceli bir macera.. 
",1
69,"dogal bir film olmus teknik fena degil gerçekler anlatilmis kazanan herzaman turk sinemasi olsun. 
",0
70,"üyelerin yaklasik %90i film hakkinda olumlu yorumlar yapmis.bn sedace harkulede diyorum  
",1
71,"ilk film kadar etkileyici degil kötü bir film olmus kabuklasmis bir konunun farkli bir versiyonu olarak cikiyor karsimiza izlenebilr ama ben taviye etmiyorum dedigim gibi kötü bir film olmus. 
",0
72,"filmi yeni seyrettim.seyretmiyen arkadaslari uyarayim dedim.bütün kötü yorumlari fazlasi ile hakediyor.1 saat 43 dklik zaman kaybi. 
",0
73,"bu filmi çekmek nasil bir insanliktir allah kat be kat belasini versin . sirplarin nasil sapik ruhlu pis bir millet oldugunun kaniti bir film. 
",0
74,"i'm foorrreeeessst fooorrreesst guuummppp kulaklarimda çinlaniyor. içim sizlayarak izledim ve sanirim hayatimda ilk kez gülümserken bile içim sizladi.. i'm forrest forressst guuuummp!. 
",1
75,"hanim efendiye hayati dolu dolu yasa demisler oda önüne gelenle yatmaya baslamis. zaman kaybi. 
",0
76,"’’dead silence’’la bizi bir hayli kizdirmis olan james wan ’’death sentence’’la bu hatasini telafi ediyor.normal bir hayati olan bir aile babasinin kendi adaletini uygulamaya çalisirken karsisindakilerden nasil olup da bir farki kalmadigini etkilenerek izliyoruz.. 
",1
77,"hiç begenmedim ve konusunun ne olduguna anlam veremedigim bi filmdi açikcasi tavsiye etmiorum... 
",0
78,"bu filme neden bu kadar az yorum yapilmis anlamiyorum... sinema tarihinin 1 numarasi. 
",1
79,"elestirmenlerin kötü demesine ragmen hiçte o kadar kötü degil ...çok güldürdü.... 
",1
80,"aglamak istiyordum güldüm ama yaa sikilmadim ama tavsiyede edemiycem... fena degil izlenebilir... 
",0
81,"o kadar da kötü bir film deil izlenebilir. 
",1
82,"ben sinemaya gittim ilk türk korku filmi ya güya izlemeye arkadaslarla gittik hani su çocugun yüzüne telefon örümcek oluyo ya beni gülme krizi tuttu herkes bana baki iyi mi ya bu kiz falan die kriz geldi susamiyorum gülmekten sonra sustum ama ç.ok matrak komik bi film. 
",0
83,"amy adams in tatli oyunculugu, küçük ve eglendirici detaylarla bezenmis, keyif veren ve kendini izleten, içinde birçok duyguyu barindiran gayet güzel bir aile filmi, zevk aldim.. 
",1
84,"beyler son derece izlemek istedigim bir film ama izleyememek ne kadar kötü!!!. 
",1
85,"hayatimin filmi ne kadar güzeldi yaaa hiç bitsin istemedim tipki bir masal gibi ....... 
",1
86,"muhtesem ßir film. tam 4 kez seyrettim ve her seferindede duygularima hakim olamadim ßence harika ßir yapimmm. o yüzden favorim ve 10 üzerinden 10 veriyorum.daha yüksek puan yok çünkü..... 
",1
87,"kesinlikle harika bir film, herkesin izlemesini siddetle tavsiye ediyorum.... 
",1
88,"walla bn bu kadar güzel türk filmi görmedim ya süper bi film . herkese gitmesini öneririm. ztn bütün film boyunca aglamaktan gözlerin agridi . biraz fazla aglatici olsa da bnce türk sinemasinin en ii filmidir diyorum ve nokta koyuyorum.... 
",1
89,"oldu olacak oscara da aday gösterelim, ne filmmis be! vay ki vay.... 
",0
90,"bence quentin tarantinonun en iyilerinin arasinda yer aliyor pulp fiction ve yaklasik 2.5 saat sürmesine karsin, sikilmadan izleyebiliyorsunuz. mutlaka izleyin derim ben.. 
",1
91,"hava zaten sicak birde bu filmin yavan mi yavan temposu eklenince cehennemi gördüm resmen.senaryodan,yönetmenlige her sey vasat bu filmde.bos vaktiniz olsa bile izlemeyin kitap okuyun,uyuyun,ders çalisin . 
",0
92,"bu filmin nesi çekici gelior para verip bu filme gidenleri anlayamiyorum gerçekten bide büyük sinemalarda hep 2 salona konuluyor nedense. 
",0
93,"mesaj verme kaygisiyla yapilmis, bir topluma ve o toplumun kurulusuna hakaret etme amaci güden saçma sapan bir yapim.. 
",0
94,"beklemedigim kadar kötü bir filmdi.sonu çok saçma bitti.zamaninizi bos yere harcamayin derim.... 
",0
95,"gerçekten harika bir film.oyuncular çok iyi,seneyo çok güzel.aglatirken güldürüyo çok güzel anlatilmis.herkes izlemeli bence. 
",1
96,"oldukça farkli hikayesini kötü bir senaryo, derinlestirilememis karakterler, basit oyuncu performanslari, yavas sikici anlatimi, kötü sonuyla rezil eden su birikintisi derinliginde olan, çekildigi yil için bile oldukça zayif bir bilimkurgu, bugün içinse hiçbir degeri olmayan çok kötü bir film. . 
",0
97,"bütün senaryo basindan sonuna belli olan .. bayagi geçen bir film. beklentilerimin üstünde bir film beklerken hayal kirikligina ugradim.. 
",0
98,"arkadaslar bence çok güzel filmdi hiç degilse içinde saçma bir kurgu yoktu donnie darko'dan bin kat daha iyi bence oyuncularda süper oynamis . 
",1
99,"dogrusu bu kadar hayal kirikligi yasayacagimi hiç düsünmemistim. filme berbat diyecegim ama bazilari abarttigimi düsünecek. o nedenle kesinlikle çok kötü diyeyim bari. ikinci sinif bir ask filmi bile daha keyifli ve güzel olabilirdi.. 
",0
100,"ben bu filmi pek fazla begenmedim hiçte komik degil berbat filmlerden biri bu!!!. 
",0
101,"ben cogu arkadasla ayni fikirde degilim maykil bizim bir degerimiz degildi bir klibini sidisinide alsak aynisey adamlar canlininda öleninde arkasindan para kazanmaya calisiyorlar bence bu filme gitmek sadece para ve zaman kaybi adamlar herseyi firsata ceviriyor. 
",0
102,"her gerçek hayat hikayesi olan flim güzel olacak diye bir kaidemi var.flimi izledikten sonra cdsini en yakin çöpe atmalik tam.. 
",0
103,"kötünün de kötüsü. kizin hareketleri çok yapmacikti hele filmin sonunda kizin yaptigi tercih saçmalikti. çok çocuksu ve gereksiz bir film asla tavsiye etmiyorum!. 
",0
104,"hersey önceden bu kadar mi belli olur bir filmde...bence çok basit bir sonla baglanmis ...sikicilgini bir kenera atiyorum sonu beni tatmin etmedi....benim için vakit kaybi oldu....... 
",0
105,"film aksiyon severler için harika oyunculugu zaten övmeye gerek yok nede olsa jet li ve statham basrolü birlikte oynuyolar.konu ise gayet güzel degisik olmus.ayrica filmin sonu güzel bitmis.sonuç olarak basarili bir yapim.. 
",1
106,"gerçekten güzel bi filmdi özellikle ve son sahnesindeki pilot speed - alright in sarkisi süperdi.. 
",1
107,"aksiyon filmlerini seviyorsaniz bu filmi kaçirmayin derim. 
",1
108,"arkadaslar ben bu filmin kitabini okudum kitap 500 küsür sayfaydi we ben bu kitabi 5 günde bitirdim hava atmak için falan demedim ne kdr gzl olduunu anlayin die dedim eee senaryo haliyle spr oyuncular dolayisiyla oyunculukta spr e yönetmen fln ii is çikarirsa tadindan yenmez. 
",1
109,"lütfen gitmeyin paraniz ve zamaniniz yaninda sinirlerinize cok yazik oluyor çunku.... 
",0
110,"yahh war yahh tek kelimeyle süpr bi film herkesin izlemesini tawsiye ediyorum çok ii bi film oyuncular kadro süper tam ders çikarmalik bi film. 
",1
111,"kadroya sakin aldanmayin,film birde 2 saate yakin sürüyor,sonu o kadar basit bitiyorki,diyorsunuz güzerl çatismalar olacak falan ama hiçbise yok,kötü film.. 
",0
112,"bence gayet hos bir filmdi benim çok hosuma gitti atmosfer,müzikler,oyunculuklar,kar,ren geyikleri,elfler,kuzey kutbu falan hepsi müthisti.beni iki saatligine de olsa baska dünyalara götürerek relax olmami sagladi.ben herkese öneririm.. 
",1
113,"tesadüflerin kurgulu olarak sunulmasi onlarin tesadüflügünü ortadan kaldirir mi? bu soruyu geçersiz kilan her yönüyle basarili bir film... . 
",1
114,"filmde en çok etkileyen sanirim oyuncu secimleri dogrultusunda oyunculuklar. gerçekten çok basarili. etkileyici ve izlemesi keyifli bir film... filmden sonra da etkisi altinda birakiyor ve düsündürüyor , peri masallarini.... 
",1
115,"okadar saçma sahneler var ki. yani adamlar binadan atliyorlar daha 2-3 metreden helekopteri tutuyorlar. yani her tarafi çakma hiçbir orjinal sahne yok olanlarda zaten mantikli degil. keski istanbulda çekilmeseydi.. 
",0
116,"nasil oscar almis anlamadim izlemeseniz de bisi kaybetmezsiniz bence...hele ilk yari çok sikiciydi sona dogru haretketleniyor güzellesiyor gibi ama bence gene de kurtarmiyor.. 
",0
117,"filmi izlerken sanki yurtdisinda çekilmis gibi geldi.filmdeki iliskilerde çok gerçekçi güncel gelmedi.oyuncular yabanciydi sanki.bence filmin son 10 dakikasi idare ederdi.bekledigim gibi degildi.. 
",0
118,"yorumlardan belli olduu gibi heyecan veren bir film ama puani biraz düsük bence. 
",1
119,"film zaten basinda kendini belli ediyor daha en basindan tüylerim diken diken gözlerim dolu dolu oldu. süper bir filmdi basindan sonuna nerdeyse agladim. aglamaktan basim agridi. herseyiyle süperdi. oyunculuklar, müzik, senaryo, akliniza ne geliyorsa süperdi.. 
",1
120,"kitaptan cok güzel uyarlanmis bir film... bence herkes izlemeli.... 
",1
121,"1 yildir bu filmi bekliyorum..okudugum yorumlardan sonra gitme istegim azaldi ama ne olursa olsun gtmeyi düsünüyorum.hiç olmadi merakimi gideririm..bu arada seçtkleri karakter tipleri de bni hayal kirikligina ugratti.... 
",0
122,"hayatimda izledigim en iyi filmlerden biri,bence izleyin bu film kaçmaz.. 
",1
123,"bence çok kötü bir film tek kelime berbat. 
",0
124,"son bölümü gersekten çok etkileyiciydi,zorla hiç bir seyin olmayacaginiz daha iyi anlatan bir yapit olamaz. 
",1
125,"jason statham aksiyon türlerinde aranan an oldu bence film aksiyon ama sizi güldüren yerlerde olacak ben begendim . 
",1
126,"brad pittin olmadigi sahneler hiç birseye benzemiyor. gülmek bi yana nasi bu kadar kötü bir film çekmisler aglamak istiyorsunuz izlemeye degmez.... 
",0
127,"kim ne derse desin kimse begenmesede ben begendim vahset sahnelerinde için çok fena oldu.arkadaslara katiliyorum cinsellik içeren sahneler çok fazlaydi ama ben gene de çok sevdim.iskence sahnelerinde içim kalkti neredeyse kuscaktim bu yüzden begendim zaten.ben eglendigimi söyleyebilirim. . 
",1
128,"isledigi konu açisindan bile en az 9 pauni hakediyor...turk sinemasinda bir çok ilki gorebilirsiniz bu filmde.... izleyenler izlemistir zaten ama neden puani bu kadar düsük anlamadim.. saçma sapan filmlere 8-9 yapistirmayi biliyoruz ama.yazik degerinde puan alamamis.. . 
",1
129,"gerçekten çok degisik bir senaryo. degisik bir film. idare eder... testere’den daha güzel.... 
",0
130,"çok sikici bi film bende yarin gidicem. 
",0
131,"izledigim en guzel animasyon filmlerinden biriydi belki de bir ders niteliginde bir film gelecegimizi dusunursek gercekten cok keyifli ve dusundurucu bir film izlenmesi gerekir . 
",1
132,"1. izleyenler için sakin iyi bisey beklemeyin yerini asla tutmaz keske çevirmeselerdi de aklimizda sadece o mukemmel olan kelebek etkisi kalsaydi. 
",0
133,"çok büyük beklentiyle gitmistim ama tam bir hayal kirikligi oldu benim için..asiri sikilmadim izlerken tamam ama film bittiginde söylenildigi gibi hiçbir etki falan da kalmadi üzerimde... 
",0
134,"en iyi uçak filmi desem bu filmi ancak tanimlayabilirim.kaliteli bir aksiyon... 
",1
135,"gelmis geçmis en iyi türk filmi.mükemmel bi film.hem aglatiyor,hem güldürüyor akici bi konusu var.oyuncular müthis.yönetmen cok iyi.özetle harika bir film. . 
",1
136,"çok merak ediyorsaniz oturun evinizde dvdsini izleyin..zaman+para kaybi... 
",0
137,"saçmaliktan baska hiçbirsey degil.... 
",0
138,"o an biraz gülüyorsun ama çikinca anliyorsun ki bos bi film.. gitmemenizi tavsiye ederim... 
",0
139,"bir savas filmine göre çok agir ve çok az etkileyici sahne var.biraz belgesel tarzi olmus.keske bu filmi amerikalilar degilde japonlar çekseydi.yinede kötü diyemeyiz.. 
",1
140,"belgesel niyetine izlenebilir bence ancak...en komik korku filmi... 
",0
141,"son zamanlarda izledigim en güzel animasyonlardan biri. eger gerilimden hoslaniyorsaniz bundan da hoslanacaginiz muhakkak.. 
",1
142,"yilina görede kötü, bugüne görede kötü. hadi efektleri yapamamissiniz bari oyunculuk olsaydi. zaman kaybi. 
",0
143,"orijinal versiyonu seyretmedim, ancak bu yeniden çevrim iyidi.... 
",1
144,"bu filme komik diyenler hayatlarinda hiç komedi filmi izlememisler sanirim. ilk filmi referans alip gittim ama pisman oldum. çok çok kötü. 
",0
145,"arkadaslar muhakkak izlemeniz gereken bir film bir insanin kendi kariyerini ve hayatini hice sayarak nasil dogruyu ve hakli olani korumaya calistigini goreceksiniz.. 
",1
146,"acikcasi film cok basit di,isminden de anlasilacagi gibi ustalarin degerine dem vuracagini dusunuyordum ucak myapma sevdasina kapilmis birini anlatiyor,kayda deger bisey yok filmde izlemeye degmez. 
",0
147,"--spoiler--bekledigimden daha heyecan dolu bir filmdi.. görsel olarakta tatmin ediciydi.. özellikle karanlik sahneler oldukca adrenalin yüklüydü.. sonu daha iyi bitebilirdi.. yada bi seri film seklinde devam edebilirdi.. ama will smith öldü.. --spoiler--izlenmeye deger.. . 
",1
148,"bunu orijinal yerinde yani bir tiyatro sahnesinde izlemek daha güzel olurdu. isimli oyuncu kadrosu var ancak hepsi belkide kariyerinin en kötü oyunculuklarini sergilemisler. izlememis olmamak için izledim ama benim için büyük bir zaman kaybiydi.. 
",0
149,"tek kelimeyle muhtesem bir film aglamamak için kendimi zor tuttum kesinlikle izlenmeli çok duygusal olan insanlar kesin aglar uyariyim yani. 
",1
150,"film hakkinda will smit gercekten elinden geleni yapmis paranizin tam karsiligi bence,zatennn iyi seyirlerr. 
",1
151,"muhtesem. 
",1
152,"eger biraz sevdiklerinizi hatirlamya ihtiyaciniz varsa.....onlari özlüyorsaniz...onlari kirdiysaniz...belki agliyorsaniz.....sicak bir gülümsemeyi özlediyseniz...vb bu filmi izlein sevdiklerinize daha yakin hissediceksiniz...onlarin deerini daha ii anlicaksiniz.....kacirmayin..... 
",1
153,"iki iyi oyunculuk baska birsey yok.hatta sikici ve izlenmesi zaman kaybi olan bir film.yani bu iki oyuncuya da yakismayan kötülükte bir filim olmus gereksiz bir filim dogrusu.zaten bu filime harcanan parada sanirim sadece içkiler baska birsey oldugunu sanmiyorum.... 
",0
154,"güzel ve bir o kadarda baglayan bir film.dvd sini izledim ve bir an tv basindan kalkmadim.sürükleyici ayni zamanda.sanki biraz stephan king in cinnet filmini animsatti.bence yani.. 
",1
155,"muhtesem muhtesem muhtesem. 
",1
156,"bu filimin yönetmeni quentin tarantino olmasini bilmek izleyeceginiz filimin size degset vereceginin göstergesidir. kill bill'den daha etkili bence ve 2. bölümü hak etmis ve sabirsizlikla 2007 de cikan ikinci degseti bekliyorum.. 
",1
157,"farkli araliklarla izlendiginde dahi çok degisik tatlar alabileceginiz kesinlikle izlenilesi bir film : . 
",1
158,"bir film basindan,sonunda ne olucagini bu kadar belli edemez..hersey zorlama,hersey kasinti.oyuncular,senaryo,kurgu...zorlama bir senaryo ve izlenmeye deger bir film gibi degil..ama her film izlenmeli tabi . 
",0
159,"bi aksam filmim bitti.himm bu da neymis diyerek aldigim bu film,inanilmaz keyifli.kisilikler,dengesizlikler,hirs,nese.özetle izleyin derim... 
",1
160,"jennifer lopez'i artik filmlerde görmemek için dünya çapinda oy toplamayi düsünüyorum ne dersiniz... (çok ciddiyim). 
",0
161,"...sanatsal film yapilacak diye bir film böyle katledilmemeli bence.konu güzel fakat kurgu,yönetmenlik berbat.oscar da bir tane bile ödül alabilirse (en iyi kostüm de dahil) sasirir ve oscari kendimce bir daha sorgularim!. 
",0
162,"bence iyi bir filmdi ben begendim. filmin kisa olmasi da konunun dagilmamasi açisindan oldukça iyi bir seçim. cok cok mükemmel bir film oldgunu söyleyemem ama ben oldukça gerildim. gerilmek isteyen tavsiye edebilecegim bir film.. 
",1
163,"bi kere romanla alakasi yok ben eski filmi yeniden çektiler diye gittim çok siradan keske fragmanini izleseydim o zaman gitmezdim...yinede eger isim gücüm yok zaman geçirmek istiyorum diyosaniz gidebilirsiniz. 
",0
164,"yetkin dikiciler, çetin tekindor disinda oyunculuk aradim durdum film boyu, fikret kuskan oyunculuk sergilesin diye beklerken bir de bakmissin film bitmis, ege tanman bile çocuk haliyle kuskana tas çikaran bir oyunculuk sergilemis.. . gözyasina oynamis yapay bir film. 
",0
165,"benicio del toro ve halle berry gibi iki oyuncu adina üzüldüm.senaryoyu okuduklarinda eminim ortaya böyle bir film çikacagini düsünmemislerdir.. 
",0
166,"güzel bir modern türk sinemasi örnegi.filmdeki bütün oyuncular rollerinin hakkini vermis.ama en iyisi bence çetin tekindordu.herkesin izlemesi ve izlememis olanlari izlemeye tesvik etmesi gerekir.. 
",1
167,"filmin konusu gerçekten ilgi çekici, oyunculukta güzel ama bnce olmasi gerekenin çok disindaydi ben büyük bir hayal kirikligiyla çiktim salondan.. 
",0
